Модель;Спрос;Цена;Тип
Седан Lux 2024;185 запросов в месяц;1 450 000 ₽;Седан
Внедорожник Pro;162 запроса в месяц;2 800 000 ₽;Внедорожник
Хэтчбек City;148 запросов в месяц;950 000 ₽;Хэтчбек
Кроссовер Urban;132 запроса в месяц;1 650 000 ₽;Кроссовер
Минивэн Family;98 запросов в месяц;2 100 000 ₽;Минивэн
Купе Sport;87 запросов в месяц;3 200 000 ₽;Купе
Пикап Worker;76 запросов в месяц;2 400 000 ₽;Пикап
Электромобиль Eco;154 запроса в месяц;2 900 000 ₽;Электро
Седан Business;112 запросов в месяц;2 300 000 ₽;Седан
Внедорожник Luxury;95 запросов в месяц;4 500 000 ₽;Внедорожник
Хэтчбек Compact;143 запроса в месяц;850 000 ₽;Хэтчбек
Кроссовер Sport;121 запрос в месяц;2 200 000 ₽;Кроссовер
Минивэн Premium;67 запросов в месяц;3 800 000 ₽;Минивэн
Кабриолет Summer;54 запроса в месяц;4 100 000 ₽;Кабриолет
Гибрид Hybrid;138 запросов в месяц;2 700 000 ₽;Гибрид
Внедорожник Offroad;89 запросов в месяц;3 300 000 ₽;Внедорожник
Седан Comfort;176 запросов в месяц;1 800 000 ₽;Седан
Кроссовер City;157 запросов в месяц;1 900 000 ₽;Кроссовер
Пикап Heavy;61 запрос в месяц;3 500 000 ₽;Пикап
Электромобиль City;192 запроса в месяц;2 600 000 ₽;Электро
